No.,Time,Source,Destination,Protocol,Length,Rank,RPLInstanceID,DODAGID,Info
125,0.665,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
126,0.666,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
127,0.667,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
128,0.667,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
129,0.667,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
130,0.668,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
131,0.668,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
132,0.669,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
133,0.674,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
134,0.674,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
135,0.675,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
136,0.675,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
137,0.676,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
138,0.676,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
139,0.676,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
140,0.682,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
141,0.682,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
142,0.682,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
143,0.683,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
144,0.683,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
145,0.684,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
146,0.684,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
147,0.685,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
148,0.685,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
149,0.685,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
150,0.686,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
151,0.689,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
152,0.69,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
153,0.69,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
154,0.789,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
155,0.79,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
156,0.79,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
157,0.791,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
158,0.791,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
159,0.792,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
160,0.792,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
161,0.793,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
162,0.796,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
163,0.796,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
164,0.797,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
165,0.797,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
166,0.798,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
167,0.8,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
168,0.801,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
169,0.802,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
170,0.802,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
171,0.806,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
172,0.806,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
173,0.807,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
174,0.807,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
175,0.807,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
176,0.808,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
177,0.808,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
178,0.809,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
179,0.809,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
180,0.809,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
181,0.81,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
182,0.81,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
183,0.81,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
184,0.811,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
185,0.816,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
186,0.816,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
187,0.817,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
188,0.817,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
189,0.818,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
190,0.818,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
191,1.219,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
192,1.22,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
193,1.22,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
194,1.222,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
195,1.222,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
196,1.226,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
197,1.226,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
198,1.227,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
199,1.23,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
200,1.327,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
201,1.328,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
202,1.328,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
203,1.329,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
204,1.33,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
205,1.333,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
206,1.334,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
207,1.335,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
208,1.335,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
209,1.336,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
210,1.336,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
211,1.336,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
212,1.34,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
213,1.341,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
214,1.341,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
215,1.342,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
216,1.342,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
217,1.342,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
218,1.347,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
219,1.347,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
220,1.348,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
221,1.348,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
222,1.348,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
223,1.349,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
224,1.349,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
225,1.35,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
226,1.35,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
227,1.35,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
228,1.447,fe80::212:740a:a:a0a,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
229,1.539,fe80::212:7401:1:101,ff02::1a,ICMPv6,97,256,30,aaaa::1,RPL Control (DODAG Information Object)
230,1.54,fe80::212:7401:1:101,ff02::1a,ICMPv6,97,256,30,aaaa::1,RPL Control (DODAG Information Object)
231,1.54,fe80::212:7401:1:101,ff02::1a,ICMPv6,97,256,30,aaaa::1,RPL Control (DODAG Information Object)
232,1.541,fe80::212:7401:1:101,ff02::1a,ICMPv6,97,256,30,aaaa::1,RPL Control (DODAG Information Object)
233,1.542,fe80::212:7401:1:101,ff02::1a,ICMPv6,97,256,30,aaaa::1,RPL Control (DODAG Information Object)
234,1.542,fe80::212:7401:1:101,ff02::1a,ICMPv6,97,256,30,aaaa::1,RPL Control (DODAG Information Object)
235,1.542,fe80::212:7401:1:101,ff02::1a,ICMPv6,97,256,30,aaaa::1,RPL Control (DODAG Information Object)
236,1.543,fe80::212:7401:1:101,ff02::1a,ICMPv6,97,256,30,aaaa::1,RPL Control (DODAG Information Object)
237,1.543,fe80::212:7401:1:101,ff02::1a,ICMPv6,97,256,30,aaaa::1,RPL Control (DODAG Information Object)
238,1.64,fe80::212:7401:1:101,ff02::1a,ICMPv6,97,256,30,aaaa::1,RPL Control (DODAG Information Object)
239,1.641,fe80::212:7401:1:101,ff02::1a,ICMPv6,97,256,30,aaaa::1,RPL Control (DODAG Information Object)
240,1.642,fe80::212:7401:1:101,ff02::1a,ICMPv6,97,256,30,aaaa::1,RPL Control (DODAG Information Object)
